ID    NODE LAT     NODE LON     FRIENDS LIST                           CENTROID COORD LIST 
61      30.1640017  304.1117334 {  455,  181,  448,  460,  318,  461}, {(  26.9764905,  300.0332983), (  31.7028909,  298.8177823), (  35.0309621,  302.7952111), (  33.3534810,  308.4216268), (  28.2802739,  309.2425473), (  25.2201576,  304.8899055)} 
62      41.1775998    0.0000000 {  462,  464,  241,  465,  463,  182}, {(  40.7985750,  353.4047768), (  45.2484260,  356.3612334), (  45.2484260,  3.6387666), (  40.7985750,  6.5952232), (  37.0004884,  3.0329488), (  37.0004884,  356.9670512)} 
63      30.1640017  343.8882666 {  468,  319,  467,  462,  183,  466}, {(  28.2802739,  338.7574527), (  33.3534810,  339.5783732), (  35.0309621,  345.2047889), (  31.7028909,  349.1822177), (  26.9764905,  347.9667017), (  25.2201576,  343.1100945)} 
64      14.4890834    8.8100037 {  471,  469,  184,  470,  472,  324}, {(  11.9016947,  4.4251184), (  16.6023009,  4.3431441), (  19.2783134,  8.5873167), (  17.3167267,  13.0877394), (  12.3751541,  13.3064543), (  9.6326310,  8.8991441)} 
65      14.4890834  351.1899963 {  330,  473,  466,  185,  469,  474}, {(  12.3751541,  346.6935457), (  17.3167267,  346.9122606), (  19.2783134,  351.4126833), (  16.6023009,  355.6568559), (  11.9016947,  355.5748816), (  9.6326310,  351.1008559)} 
66      30.1640017   16.1117334 {  470,  186,  463,  475,  336,  476}, {(  26.9764905,  12.0332983), (  31.7028909,  10.8177823), (  35.0309621,  14.7952111), (  33.3534810,  20.4216268), (  28.2802739,  21.2425473), (  25.2201576,  16.8899055)} 
67      41.1775998   72.0000000 {  477,  479,  235,  480,  478,  187}, {(  40.7985750,  65.4047768), (  45.2484260,  68.3612334), (  45.2484260,  75.6387666), (  40.7985750,  78.5952232), (  37.0004884,  75.0329488), (  37.0004884,  68.9670512)} 
68      30.1640017   55.8882666 {  483,  337,  482,  477,  188,  481}, {(  28.2802739,  50.7574527), (  33.3534810,  51.5783732), (  35.0309621,  57.2047889), (  31.7028909,  61.1822177), (  26.9764905,  59.9667017), (  25.2201576,  55.1100945)} 
69      14.4890834   80.8100037 {  486,  484,  189,  485,  487,  342}, {(  11.9016947,  76.4251184), (  16.6023009,  76.3431441), (  19.2783134,  80.5873167), (  17.3167267,  85.0877394), (  12.3751541,  85.3064543), (  9.6326310,  80.8991441)} 
70      14.4890834   63.1899963 {  348,  488,  481,  190,  484,  489}, {(  12.3751541,  58.6935457), (  17.3167267,  58.9122606), (  19.2783134,  63.4126833), (  16.6023009,  67.6568559), (  11.9016947,  67.5748816), (  9.6326310,  63.1008559)} 
