ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
77    -41.114523   180.000000   {  80,  119,   17,  120,   81,    7}, {(-39.353214, 192.446384), (-48.980751, 187.413729), (-48.980751, 172.586271), (-39.353214, 167.553616), (-32.593645, 174.729108), (-32.593645, 185.270892)} 
78    -14.548444   188.772355   {  24,  138,   80,    7,   79,  137}, {(-10.261345, 197.387968), (-20.521191, 196.734482), (-24.016282, 187.880215), (-19.002001, 180.000000), (-10.094975, 180.000000), ( -5.110087, 189.070763)} 
79    -14.548444   171.227645   { 137,   78,    7,   81,  160,   35}, {(-10.094975, 180.000000), (-19.002001, 180.000000), (-24.016282, 172.119785), (-20.521191, 163.265518), (-10.261345, 162.612032), ( -5.110087, 170.929237)} 
80    -30.157350   196.035371   { 138,   37,  119,   77,    7,   78}, {(-26.444451, 205.899764), (-36.115262, 204.792136), (-39.353214, 192.446384), (-32.593645, 185.270892), (-24.016282, 187.880215), (-20.521191, 196.734482)} 
81    -30.157350   163.964629   {  79,    7,   77,  120,   38,  160}, {(-24.016282, 172.119785), (-32.593645, 174.729108), (-39.353214, 167.553616), (-36.115262, 155.207864), (-26.444451, 154.100236), (-20.521191, 163.265518)} 
82    -41.114523   252.000000   {  86,  123,   18,  122,   85,    8}, {(-39.353214, 264.446384), (-48.980751, 259.413729), (-48.980751, 244.586271), (-39.353214, 239.553616), (-32.593645, 246.729108), (-32.593645, 257.270892)} 
83    -14.548444   243.227645   { 139,   84,    8,   85,  140,   25}, {(-10.094975, 252.000000), (-19.002001, 252.000000), (-24.016282, 244.119785), (-20.521191, 235.265518), (-10.261345, 234.612032), ( -5.110087, 242.929237)} 
84    -14.548444   260.772355   {  27,  144,   86,    8,   83,  139}, {(-10.261345, 269.387968), (-20.521191, 268.734482), (-24.016282, 259.880215), (-19.002001, 252.000000), (-10.094975, 252.000000), ( -5.110087, 261.070763)} 
85    -30.157350   235.964629   {  83,    8,   82,  122,   37,  140}, {(-24.016282, 244.119785), (-32.593645, 246.729108), (-39.353214, 239.553616), (-36.115262, 227.207864), (-26.444451, 226.100236), (-20.521191, 235.265518)} 
86    -30.157350   268.035371   { 144,   39,  123,   82,    8,   84}, {(-26.444451, 277.899764), (-36.115262, 276.792136), (-39.353214, 264.446384), (-32.593645, 257.270892), (-24.016282, 259.880215), (-20.521191, 268.734482)} 
87    -41.114523   324.000000   {  91,  126,   19,  125,   90,    9}, {(-39.353214, 336.446384), (-48.980751, 331.413729), (-48.980751, 316.586271), (-39.353214, 311.553616), (-32.593645, 318.729108), (-32.593645, 329.270892)} 
88    -14.548444   315.227645   { 145,   89,    9,   90,  146,   28}, {(-10.094975, 324.000000), (-19.002001, 324.000000), (-24.016282, 316.119785), (-20.521191, 307.265518), (-10.261345, 306.612032), ( -5.110087, 314.929237)} 
89    -14.548444   332.772355   {  30,  150,   91,    9,   88,  145}, {(-10.261345, 341.387968), (-20.521191, 340.734482), (-24.016282, 331.880215), (-19.002001, 324.000000), (-10.094975, 324.000000), ( -5.110087, 333.070763)} 
90    -30.157350   307.964629   {  88,    9,   87,  125,   39,  146}, {(-24.016282, 316.119785), (-32.593645, 318.729108), (-39.353214, 311.553616), (-36.115262, 299.207864), (-26.444451, 298.100236), (-20.521191, 307.265518)} 
